Unnamed: 0,region,regionAgg
1,AFG,Non-OECD
2,ALA,EUR
3,ALB,ALB
4,DZA,Africa
5,ASM,Non-OECD
6,AND,Non-OECD
7,AGO,Africa
8,AIA,Non-OECD
9,ATA,Non-OECD
10,ATG,Non-OECD
11,ARG,ARG
12,ARM,Middle East
13,ABW,Non-OECD
14,AUS,AUS
15,AUT,AUT
16,AZE,Middle East
17,BHS,Non-OECD
18,BHR,Middle East
19,BGD,Non-OECD
20,BRB,Non-OECD
21,BLR,BLR
22,BEL,BEL
23,BLZ,Non-OECD
24,BEN,Africa
25,BMU,Non-OECD
26,BTN,Non-OECD
27,BOL,Non-OECD
28,BES,Non-OECD
29,BIH,BIH
30,BWA,Africa
31,BVT,Non-OECD
32,BRA,BRA
33,IOT,Non-OECD
34,BRN,ASEAN
35,BGR,BGR
36,BFA,Africa
37,BDI,Africa
38,KHM,ASEAN
39,CMR,Africa
40,CAN,CAN
41,CPV,Africa
42,CYM,Non-OECD
43,CAF,Africa
44,TCD,Africa
45,CHL,CHL
46,CHN,CHN
47,CXR,Non-OECD
48,CCK,Non-OECD
49,COL,OECD
50,COM,Africa
51,COG,Africa
52,COD,Africa
53,COK,Non-OECD
54,CRI,Non-OECD
55,CIV,Africa
56,HRV,HRV
57,CUB,Non-OECD
58,CUW,Non-OECD
59,CYP,CYP
60,CZE,CZE
61,DNK,DNK
62,DJI,Africa
63,DMA,Non-OECD
64,DOM,Non-OECD
65,ECU,Non-OECD
66,EGY,Africa
67,SLV,Non-OECD
68,GNQ,Africa
69,ERI,Africa
70,EST,EST
71,ETH,Africa
72,FLK,Non-OECD
73,FRO,EUR
74,FJI,Non-OECD
75,FIN,FIN
76,FRA,FRA
77,GUF,Non-OECD
78,PYF,Non-OECD
79,ATF,Non-OECD
80,GAB,Africa
81,GMB,Africa
82,GEO,GEO
83,DEU,DEU
84,GHA,Africa
85,GIB,EUR
86,GRC,GRC
87,GRL,Non-OECD
88,GRD,Non-OECD
89,GLP,Non-OECD
90,GUM,Non-OECD
91,GTM,Non-OECD
92,GGY,EUR
93,GIN,Africa
94,GNB,Africa
