X;CountryCode;R12;11regions;5regions;2regions
Angola;AGO;AFR;AFR;Middle East and Africa;Global South
Benin;BEN;AFR;AFR;Middle East and Africa;Global South
Botswana;BWA;AFR;AFR;Middle East and Africa;Global South
British Indian Ocean Territory;IOT;AFR;AFR;Middle East and Africa;Global South
Burkina Faso;BFA;AFR;AFR;Middle East and Africa;Global South
Burundi;BDI;AFR;AFR;Middle East and Africa;Global South
Cameroon;CMR;AFR;AFR;Middle East and Africa;Global South
Cape Verde;CPV;AFR;AFR;Middle East and Africa;Global South
Central African Republic;CAF;AFR;AFR;Middle East and Africa;Global South
Chad;TCD;AFR;AFR;Middle East and Africa;Global South
Comoros;COM;AFR;AFR;Middle East and Africa;Global South
Cote d'Ivoire;CIV;AFR;AFR;Middle East and Africa;Global South
Congo;COG;AFR;AFR;Middle East and Africa;Global South
Djibouti;DJI;AFR;AFR;Middle East and Africa;Global South
Equatorial Guinea;GNQ;AFR;AFR;Middle East and Africa;Global South
Eritrea;ERI;AFR;AFR;Middle East and Africa;Global South
Ethiopia;ETH;AFR;AFR;Middle East and Africa;Global South
Gabon;GAB;AFR;AFR;Middle East and Africa;Global South
Gambia;GMB;AFR;AFR;Middle East and Africa;Global South
Ghana;GHA;AFR;AFR;Middle East and Africa;Global South
Guinea;GIN;AFR;AFR;Middle East and Africa;Global South
Guinea-Bissau;GNB;AFR;AFR;Middle East and Africa;Global South
Kenya;KEN;AFR;AFR;Middle East and Africa;Global South
Lesotho;LSO;AFR;AFR;Middle East and Africa;Global South
Liberia;LBR;AFR;AFR;Middle East and Africa;Global South
Madagascar;MDG;AFR;AFR;Middle East and Africa;Global South
Malawi;MWI;AFR;AFR;Middle East and Africa;Global South
Mali;MLI;AFR;AFR;Middle East and Africa;Global South
Mauritania;MRT;AFR;AFR;Middle East and Africa;Global South
Mauritius;MUS;AFR;AFR;Middle East and Africa;Global South
Mozambique;MOZ;AFR;AFR;Middle East and Africa;Global South
Namibia;NAM;AFR;AFR;Middle East and Africa;Global South
Niger;NER;AFR;AFR;Middle East and Africa;Global South
Nigeria;NGA;AFR;AFR;Middle East and Africa;Global South
Reunion;REU;AFR;AFR;Middle East and Africa;Global South
Rwanda;RWA;AFR;AFR;Middle East and Africa;Global South
Sao Tome and Principe;STP;AFR;AFR;Middle East and Africa;Global South
Senegal;SEN;AFR;AFR;Middle East and Africa;Global South
Seychelles;SYC;AFR;AFR;Middle East and Africa;Global South
Sierra Leone;SLE;AFR;AFR;Middle East and Africa;Global South
Somalia;SOM;AFR;AFR;Middle East and Africa;Global South
South Africa;ZAF;AFR;AFR;Middle East and Africa;Global South
Saint Helena;SHN;AFR;AFR;Middle East and Africa;Global South
Swaziland;SWZ;AFR;AFR;Middle East and Africa;Global South
Tanzania;TZA;AFR;AFR;Middle East and Africa;Global South
Togo;TGO;AFR;AFR;Middle East and Africa;Global South
Uganda;UGA;AFR;AFR;Middle East and Africa;Global South
Democratic Republic of the Congo;COD;AFR;AFR;Middle East and Africa;Global South
Zambia;ZMB;AFR;AFR;Middle East and Africa;Global South
Zimbabwe;ZWE;AFR;AFR;Middle East and Africa;Global South
Cambodia;KHM;RCPA;CPA;Asia;Global South
China;CHN;CHN;CPA;Asia;Global South
Korea (DPR);PRK;RCPA;CPA;Asia;Global South
Laos (PDR);LAO;RCPA;CPA;Asia;Global South
Mongolia;MNG;RCPA;CPA;Asia;Global South
Viet Nam;VNM;RCPA;CPA;Asia;Global South
Albania;ALB;EEU;EEU;Reforming Ecomonies;Global North
Bosnia and Herzegovina;BIH;EEU;EEU;Reforming Ecomonies;Global North
Bulgaria;BGR;EEU;EEU;Reforming Ecomonies;Global North
Croatia;HRV;EEU;EEU;Reforming Ecomonies;Global North
Czech Republic;CZE;EEU;EEU;Reforming Ecomonies;Global North
Estonia;EST;EEU;EEU;Reforming Ecomonies;Global North
The former Yugoslav Rep. of Macedonia;MKD;EEU;EEU;Reforming Ecomonies;Global North
Latvia;LVA;EEU;EEU;Reforming Ecomonies;Global North
Lithuania;LTU;EEU;EEU;Reforming Ecomonies;Global North
Hungary;HUN;EEU;EEU;Reforming Ecomonies;Global North
Poland;POL;EEU;EEU;Reforming Ecomonies;Global North
Romania;ROU;EEU;EEU;Reforming Ecomonies;Global North
Slovak Republic;SVK;EEU;EEU;Reforming Ecomonies;Global North
Slovenia;SVN;EEU;EEU;Reforming Ecomonies;Global North
Yugoslavia;YUG;EEU;EEU;Reforming Ecomonies;Global North
Armenia;ARM;FSU;FSU;Reforming Ecomonies;Global North
Azerbaijan;AZE;FSU;FSU;Reforming Ecomonies;Global North
Belarus;BLR;FSU;FSU;Reforming Ecomonies;Global North
Georgia;GEO;FSU;FSU;Reforming Ecomonies;Global North
Kazakhstan;KAZ;FSU;FSU;Reforming Ecomonies;Global North
Kyrgyzstan;KGZ;FSU;FSU;Reforming Ecomonies;Global North
Republic of Moldova;MDA;FSU;FSU;Reforming Ecomonies;Global North
Russian Federation;RUS;FSU;FSU;Reforming Ecomonies;Global North
Tajikistan;TJK;FSU;FSU;Reforming Ecomonies;Global North
Turkmenistan;TKM;FSU;FSU;Reforming Ecomonies;Global North
Ukraine;UKR;FSU;FSU;Reforming Ecomonies;Global North
Uzbekistan;UZB;FSU;FSU;Reforming Ecomonies;Global North
Antigua and Barbuda;ATG;LAM;LAC;Latin America and the Caribbean;Global South
Argentina;ARG;LAM;LAC;Latin America and the Caribbean;Global South
Bahamas;BHS;LAM;LAC;Latin America and the Caribbean;Global South
Barbados;BRB;LAM;LAC;Latin America and the Caribbean;Global South
Belize;BLZ;LAM;LAC;Latin America and the Caribbean;Global South
Bermuda;BMU;LAM;LAC;Latin America and the Caribbean;Global South
Bolivia;BOL;LAM;LAC;Latin America and the Caribbean;Global South
Brazil;BRA;LAM;LAC;Latin America and the Caribbean;Global South
Chile;CHL;LAM;LAC;Latin America and the Caribbean;Global South
Colombia;COL;LAM;LAC;Latin America and the Caribbean;Global South
Costa Rica;CRI;LAM;LAC;Latin America and the Caribbean;Global South
Cuba;CUB;LAM;LAC;Latin America and the Caribbean;Global South
Dominica;DMA;LAM;LAC;Latin America and the Caribbean;Global South
Dominican Republic;DOM;LAM;LAC;Latin America and the Caribbean;Global South
Ecuador;ECU;LAM;LAC;Latin America and the Caribbean;Global South
El Salvador;SLV;LAM;LAC;Latin America and the Caribbean;Global South
French Guyana;GUF;LAM;LAC;Latin America and the Caribbean;Global South
Grenada;GRD;LAM;LAC;Latin America and the Caribbean;Global South
Guadeloupe;GLP;LAM;LAC;Latin America and the Caribbean;Global South
Guatemala;GTM;LAM;LAC;Latin America and the Caribbean;Global South
Guyana;GUY;LAM;LAC;Latin America and the Caribbean;Global South
Haiti;HTI;LAM;LAC;Latin America and the Caribbean;Global South
Honduras;HND;LAM;LAC;Latin America and the Caribbean;Global South
Jamaica;JAM;LAM;LAC;Latin America and the Caribbean;Global South
Martinique;MTQ;LAM;LAC;Latin America and the Caribbean;Global South
Mexico;MEX;LAM;LAC;Latin America and the Caribbean;Global South
Netherlands Antilles;ANT;LAM;LAC;Latin America and the Caribbean;Global South
Nicaragua;NIC;LAM;LAC;Latin America and the Caribbean;Global South
Panama;PAN;LAM;LAC;Latin America and the Caribbean;Global South
Paraguay;PRY;LAM;LAC;Latin America and the Caribbean;Global South
Peru;PER;LAM;LAC;Latin America and the Caribbean;Global South
Saint Kitts and Nevis;KNA;LAM;LAC;Latin America and the Caribbean;Global South
Santa Lucia;LCA;LAM;LAC;Latin America and the Caribbean;Global South
Saint Vincent and the Grenadines;VCT;LAM;LAC;Latin America and the Caribbean;Global South
Suriname;SUR;LAM;LAC;Latin America and the Caribbean;Global South
Trinidad and Tobago;TTO;LAM;LAC;Latin America and the Caribbean;Global South
Uruguay;URY;LAM;LAC;Latin America and the Caribbean;Global South
Venezuela;VEN;LAM;LAC;Latin America and the Caribbean;Global South
Algeria;DZA;MEA;MEA;Middle East and Africa;Global South
Bahrain;BHR;MEA;MEA;Middle East and Africa;Global South
Egypt (Arab Republic);EGY;MEA;MEA;Middle East and Africa;Global South
Iraq;IRQ;MEA;MEA;Middle East and Africa;Global South
Iran (Islamic Republic);IRN;MEA;MEA;Middle East and Africa;Global South
Israel;ISR;MEA;MEA;Middle East and Africa;Global South
Jordan;JOR;MEA;MEA;Middle East and Africa;Global South
Kuwait;KWT;MEA;MEA;Middle East and Africa;Global South
Lebanon;LBN;MEA;MEA;Middle East and Africa;Global South
Libya/SPLAJ;LBY;MEA;MEA;Middle East and Africa;Global South
Morocco;MAR;MEA;MEA;Middle East and Africa;Global South
Oman;OMN;MEA;MEA;Middle East and Africa;Global South
Qatar;QAT;MEA;MEA;Middle East and Africa;Global South
Saudi Arabia;SAU;MEA;MEA;Middle East and Africa;Global South
Sudan;SDN;MEA;MEA;Middle East and Africa;Global South
Syria (Arab Republic);SYR;MEA;MEA;Middle East and Africa;Global South
Tunisia;TUN;MEA;MEA;Middle East and Africa;Global South
United Arab Emirates;ARE;MEA;MEA;Middle East and Africa;Global South
Yemen;YEM;MEA;MEA;Middle East and Africa;Global South
Canada;CAN;NAM;NAM;OECD 90;Global North
Guam;GUM;NAM;NAM;OECD 90;Global North
Puerto Rico;PRI;NAM;NAM;OECD 90;Global North
United States of America;USA;NAM;NAM;OECD 90;Global North
Virgin Islands, British;VGB;NAM;NAM;OECD 90;Global North
Virgin Islands, U.S.;VIR;NAM;NAM;OECD 90;Global North
Australia;AUS;PAO;PAO;OECD 90;Global North
Japan;JPN;PAO;PAO;OECD 90;Global North
New Zealand;NZL;PAO;PAO;OECD 90;Global North
American Samoa;ASM;PAS;PAS;Asia;Global South
Brunei Darussalam;BRN;PAS;PAS;Asia;Global South
Fiji;FJI;PAS;PAS;Asia;Global South
French Polynesia;PYF;PAS;PAS;Asia;Global South
Gilbert-Kiribati;KIR;PAS;PAS;Asia;Global South
Indonesia;IDN;PAS;PAS;Asia;Global South
Malaysia;MYS;PAS;PAS;Asia;Global South
Myanmar;MMR;PAS;PAS;Asia;Global South
New Caledonia;NCL;PAS;PAS;Asia;Global South
Papua New Guinea;PNG;PAS;PAS;Asia;Global South
Philippines;PHL;PAS;PAS;Asia;Global South
Republic of Korea;KOR;PAS;PAS;Asia;Global South
Singapore;SGP;PAS;PAS;Asia;Global South
Solomon Islands;SLB;PAS;PAS;Asia;Global South
Taiwan (China);TWN;PAS;PAS;Asia;Global South
Thailand;THA;PAS;PAS;Asia;Global South
Tonga;TON;PAS;PAS;Asia;Global South
Vanuatu;VUT;PAS;PAS;Asia;Global South
Samoa;WSM;PAS;PAS;Asia;Global South
Afghanistan;AFG;SAS;SAS;Asia;Global South
Bangladesh;BGD;SAS;SAS;Asia;Global South
Bhutan;BTN;SAS;SAS;Asia;Global South
India;IND;SAS;SAS;Asia;Global South
Maldives;MDV;SAS;SAS;Asia;Global South
Nepal;NPL;SAS;SAS;Asia;Global South
Pakistan;PAK;SAS;SAS;Asia;Global South
Sri Lanka;LKA;SAS;SAS;Asia;Global South
Andorra;AND;WEU;WEU;OECD 90;Global North
Austria;AUT;WEU;WEU;OECD 90;Global North
Belgium;BEL;WEU;WEU;OECD 90;Global North
Jersey;JEY;WEU;WEU;OECD 90;Global North
Guernsey;GGY;WEU;WEU;OECD 90;Global North
Cyprus;CYP;WEU;WEU;OECD 90;Global North
Denmark;DNK;WEU;WEU;OECD 90;Global North
Faeroe Islands;FRO;WEU;WEU;OECD 90;Global North
Finland;FIN;WEU;WEU;OECD 90;Global North
France;FRA;WEU;WEU;OECD 90;Global North
Germany;DEU;WEU;WEU;OECD 90;Global North
Gibraltar;GIB;WEU;WEU;OECD 90;Global North
Greece;GRC;WEU;WEU;OECD 90;Global North
Greenland;GRL;WEU;WEU;OECD 90;Global North
Iceland;ISL;WEU;WEU;OECD 90;Global North
Ireland;IRL;WEU;WEU;OECD 90;Global North
Isle of Man;IMN;WEU;WEU;OECD 90;Global North
Italy;ITA;WEU;WEU;OECD 90;Global North
Liechtenstein;LIE;WEU;WEU;OECD 90;Global North
Luxembourg;LUX;WEU;WEU;OECD 90;Global North
Malta;MLT;WEU;WEU;OECD 90;Global North
Monaco;MCO;WEU;WEU;OECD 90;Global North
Netherlands;NLD;WEU;WEU;OECD 90;Global North
Norway;NOR;WEU;WEU;OECD 90;Global North
Portugal;PRT;WEU;WEU;OECD 90;Global North
Spain;ESP;WEU;WEU;OECD 90;Global North
Sweden;SWE;WEU;WEU;OECD 90;Global North
Switzerland;CHE;WEU;WEU;OECD 90;Global North
Turkey;TUR;WEU;WEU;OECD 90;Global North
United Kingdom;GBR;WEU;WEU;OECD 90;Global North
Aland�Islands;ALA;WEU;WEU;OECD 90;Global North
Anguilla;AIA;LAM;LAC;Latin America and the Caribbean;Global South
Antarctica;ATA;LAM;LAC;Latin America and the Caribbean;Global South
Aruba;ABW;LAM;LAC;Latin America and the Caribbean;Global South
Bonaire,�Sint�Eustatius�and�Saba;BES;LAM;LAC;Latin America and the Caribbean;Global South
Bouvet�Island;BVT;LAM;LAC;Latin America and the Caribbean;Global South
Cayman�Islands;CYM;LAM;LAC;Latin America and the Caribbean;Global South
Christmas�Island;CXR;PAO;PAO;OECD 90;Global North
Cocos�(Keeling)�Islands;CCK;PAO;PAO;OECD 90;Global North
Cook�Islands;COK;PAO;PAO;OECD 90;Global North
Curacao;CUW;LAM;LAC;Latin America and the Caribbean;Global South
Falkland�Islands�(Malvinas);FLK;LAM;LAC;Latin America and the Caribbean;Global South
French�Southern�Territories;ATF;LAM;LAC;Latin America and the Caribbean;Global South
Heard�Island�and�McDonald�Islands;HMD;PAO;PAO;OECD 90;Global North
Holy�See�(Vatican�City�State);VAT;WEU;WEU;OECD 90;Global North
Hong�Kong;HKG;CHN;CPA;Asia;Global South
Macao;MAC;CHN;CPA;Asia;Global South
Marshall�Islands;MHL;PAS;PAS;Asia;Global South
Mayotte;MYT;AFR;AFR;Middle East and Africa;Global South
Micronesia,�Federated�States�of;FSM;PAS;PAS;Asia;Global South
Montenegro;MNE;EEU;EEU;Reforming Ecomonies;Global North
Montserrat;MSR;LAM;LAC;Latin America and the Caribbean;Global South
Nauru;NRU;PAS;PAS;Asia;Global South
Niue;NIU;PAO;PAO;OECD 90;Global North
Norfolk�Island;NFK;PAO;PAO;OECD 90;Global North
Northern�Mariana�Islands;MNP;PAS;PAS;Asia;Global South
Palau;PLW;PAS;PAS;Asia;Global South
Palestine,�State�of;PSE;MEA;MEA;Middle East and Africa;Global South
Pitcairn;PCN;PAS;PAS;Asia;Global South
Saint�Barthelemy;BLM;LAM;LAC;Latin America and the Caribbean;Global South
Saint�Martin�(French�part);MAF;LAM;LAC;Latin America and the Caribbean;Global South
Saint�Pierre�and�Miquelon;SPM;NAM;NAM;OECD 90;Global North
San�Marino;SMR;WEU;WEU;OECD 90;Global North
Serbia;SRB;WEU;WEU;OECD 90;Global North
Sint�Maarten�(Dutch�part);SXM;LAM;LAC;Latin America and the Caribbean;Global South
South�Georgia�and�the�South�Sandwich�Islands;SGS;LAM;LAC;Latin America and the Caribbean;Global South
South�Sudan;SSD;AFR;AFR;Middle East and Africa;Global South
Svalbard�and�Jan�Mayen;SJM;WEU;WEU;OECD 90;Global North
Timor-Leste;TLS;PAS;PAS;Asia;Global South
Tokelau;TKL;PAS;PAS;Asia;Global South
Turks�and�Caicos�Islands;TCA;LAM;LAC;Latin America and the Caribbean;Global South
Tuvalu;TUV;PAS;PAS;Asia;Global South
United�States�Minor�Outlying�Islands;UMI;PAS;PAS;Asia;Global South
Wallis�and�Futuna;WLF;PAS;PAS;Asia;Global South
Western�Sahara;ESH;MEA;MEA;Middle East and Africa;Global South
