variable,refVarGroup,hs,hsr,sec,.comment,.color
biom->reel,reel,biom,reel,Res,,Biomass heater
dihe->reel,reel,dihe,reel,Res,,District heating
ehp1->reel,reel,ehp1,reel,Res,,Heat pump
reel->reel,reel,reel,reel,Res,,Resistive electric
h2bo->reel,reel,h2bo,reel,Res,,Hydrogen heater
gabo->reel,reel,gabo,reel,Res,,Gas heater
libo->reel,reel,libo,reel,Res,,Liquids heater
sobo->reel,reel,sobo,reel,Res,,Coal heater
biom->ehp1,ehp1,biom,ehp1,Res,,Biomass heater
dihe->ehp1,ehp1,dihe,ehp1,Res,,District heating
ehp1->ehp1,ehp1,ehp1,ehp1,Res,,Heat pump
reel->ehp1,ehp1,reel,ehp1,Res,,Resistive electric
h2bo->ehp1,ehp1,h2bo,ehp1,Res,,Hydrogen heater
gabo->ehp1,ehp1,gabo,ehp1,Res,,Gas heater
libo->ehp1,ehp1,libo,ehp1,Res,,Liquids heater
sobo->ehp1,ehp1,sobo,ehp1,Res,,Coal heater
biom->biom,biom,biom,biom,Res,,Biomass heater
dihe->biom,biom,dihe,biom,Res,,District heating
ehp1->biom,biom,ehp1,biom,Res,,Heat pump
reel->biom,biom,reel,biom,Res,,Resistive electric
h2bo->biom,biom,h2bo,biom,Res,,Hydrogen heater
gabo->biom,biom,gabo,biom,Res,,Gas heater
libo->biom,biom,libo,biom,Res,,Liquids heater
sobo->biom,biom,sobo,biom,Res,,Coal heater
#biom->sobo,sobo,biom,sobo,Res,replacement not allowed,Biomass heater
#dihe->sobo,sobo,dihe,sobo,Res,replacement not allowed,District heating
#ehp1->sobo,sobo,ehp1,sobo,Res,replacement not allowed,Heat pump
#reel->sobo,sobo,reel,sobo,Res,replacement not allowed,Resistive electric
#h2bo->sobo,sobo,h2bo,sobo,Res,replacement not allowed,Hydrogen heater
#gabo->sobo,sobo,gabo,sobo,Res,replacement not allowed,Gas heater
#libo->sobo,sobo,libo,sobo,Res,replacement not allowed,Liquids heater
sobo->sobo,sobo,sobo,sobo,Res,,Coal heater
biom->gabo,gabo,biom,gabo,Res,,Biomass heater
dihe->gabo,gabo,dihe,gabo,Res,,District heating
ehp1->gabo,gabo,ehp1,gabo,Res,,Heat pump
reel->gabo,gabo,reel,gabo,Res,,Resistive electric
h2bo->gabo,gabo,h2bo,gabo,Res,,Hydrogen heater
gabo->gabo,gabo,gabo,gabo,Res,,Gas heater
libo->gabo,gabo,libo,gabo,Res,,Liquids heater
sobo->gabo,gabo,sobo,gabo,Res,,Coal heater
biom->dihe,dihe,biom,dihe,Res,,Biomass heater
dihe->dihe,dihe,dihe,dihe,Res,,District heating
ehp1->dihe,dihe,ehp1,dihe,Res,,Heat pump
reel->dihe,dihe,reel,dihe,Res,,Resistive electric
h2bo->dihe,dihe,h2bo,dihe,Res,,Hydrogen heater
gabo->dihe,dihe,gabo,dihe,Res,,Gas heater
libo->dihe,dihe,libo,dihe,Res,,Liquids heater
sobo->dihe,dihe,sobo,dihe,Res,,Coal heater
#biom->libo,libo,biom,libo,Res,replacement not allowed,Biomass heater
#dihe->libo,libo,dihe,libo,Res,replacement not allowed,District heating
#ehp1->libo,libo,ehp1,libo,Res,replacement not allowed,Heat pump
#reel->libo,libo,reel,libo,Res,replacement not allowed,Resistive electric
#h2bo->libo,libo,h2bo,libo,Res,replacement not allowed,Hydrogen heater
#gabo->libo,libo,gabo,libo,Res,replacement not allowed,Gas heater
libo->libo,libo,libo,libo,Res,,Liquids heater
sobo->libo,libo,sobo,libo,Res,,Coal heater
biom->h2bo,h2bo,biom,h2bo,Res,,Biomass heater
dihe->h2bo,h2bo,dihe,h2bo,Res,,District heating
ehp1->h2bo,h2bo,ehp1,h2bo,Res,,Heat pump
reel->h2bo,h2bo,reel,h2bo,Res,,Resistive electric
h2bo->h2bo,h2bo,h2bo,h2bo,Res,,Hydrogen heater
gabo->h2bo,h2bo,gabo,h2bo,Res,,Gas heater
libo->h2bo,h2bo,libo,h2bo,Res,,Liquids heater
sobo->h2bo,h2bo,sobo,h2bo,Res,,Coal heater
