variable,refVarGroup,.hs,sec,vin,hs
Res_before1945_biom,Res_before1945,Biomasse,Res,before1945,biom
Res_1945-1969_biom,Res_1945-1969,Biomasse,Res,1945-1969,biom
Res_1970-1979_biom,Res_1970-1979,Biomasse,Res,1970-1979,biom
Res_1980-1989_biom,Res_1980-1989,Biomasse,Res,1980-1989,biom
Res_1990-1999_biom,Res_1990-1999,Biomasse,Res,1990-1999,biom
Res_2000-2010_biom,Res_2000-2010,Biomasse,Res,2000-2010,biom
Res_2011-2020_biom,Res_2011-2020,Biomasse,Res,2011-2020,biom
Res_before1945_dihe,Res_before1945,Fernwärme,Res,before1945,dihe
Res_1945-1969_dihe,Res_1945-1969,Fernwärme,Res,1945-1969,dihe
Res_1970-1979_dihe,Res_1970-1979,Fernwärme,Res,1970-1979,dihe
Res_1980-1989_dihe,Res_1980-1989,Fernwärme,Res,1980-1989,dihe
Res_1990-1999_dihe,Res_1990-1999,Fernwärme,Res,1990-1999,dihe
Res_2000-2010_dihe,Res_2000-2010,Fernwärme,Res,2000-2010,dihe
Res_2011-2020_dihe,Res_2011-2020,Fernwärme,Res,2011-2020,dihe
Res_before1945_other,Res_before1945,Sonstige,Res,before1945,reel
Res_1945-1969_other,Res_1945-1969,Sonstige,Res,1945-1969,reel
Res_1970-1979_other,Res_1970-1979,Sonstige,Res,1970-1979,reel
Res_1980-1989_other,Res_1980-1989,Sonstige,Res,1980-1989,reel
Res_1990-1999_other,Res_1990-1999,Sonstige,Res,1990-1999,reel
Res_2000-2010_other,Res_2000-2010,Sonstige,Res,2000-2010,reel
Res_2011-2020_other,Res_2011-2020,Sonstige,Res,2011-2020,reel
Res_before1945_other,Res_before1945,Sonstige,Res,before1945,sobo
Res_1945-1969_other,Res_1945-1969,Sonstige,Res,1945-1969,sobo
Res_1970-1979_other,Res_1970-1979,Sonstige,Res,1970-1979,sobo
Res_1980-1989_other,Res_1980-1989,Sonstige,Res,1980-1989,sobo
Res_1990-1999_other,Res_1990-1999,Sonstige,Res,1990-1999,sobo
Res_2000-2010_other,Res_2000-2010,Sonstige,Res,2000-2010,sobo
