variable,refVarGroup,.hs,typ,vin,hs
SFH_before1945_biom,SFH_before1945,Biomasse,SFH,before1945,biom
SFH_1945-1969_biom,SFH_1945-1969,Biomasse,SFH,1945-1969,biom
SFH_1970-1979_biom,SFH_1970-1979,Biomasse,SFH,1970-1979,biom
SFH_1980-1989_biom,SFH_1980-1989,Biomasse,SFH,1980-1989,biom
SFH_1990-1999_biom,SFH_1990-1999,Biomasse,SFH,1990-1999,biom
SFH_2000-2010_biom,SFH_2000-2010,Biomasse,SFH,2000-2010,biom
SFH_2011-2020_biom,SFH_2011-2020,Biomasse,SFH,2011-2020,biom
SFH_before1945_dihe,SFH_before1945,Fernw�rme,SFH,before1945,dihe
SFH_1945-1969_dihe,SFH_1945-1969,Fernw�rme,SFH,1945-1969,dihe
SFH_1970-1979_dihe,SFH_1970-1979,Fernw�rme,SFH,1970-1979,dihe
SFH_1980-1989_dihe,SFH_1980-1989,Fernw�rme,SFH,1980-1989,dihe
SFH_1990-1999_dihe,SFH_1990-1999,Fernw�rme,SFH,1990-1999,dihe
SFH_2000-2010_dihe,SFH_2000-2010,Fernw�rme,SFH,2000-2010,dihe
SFH_2011-2020_dihe,SFH_2011-2020,Fernw�rme,SFH,2011-2020,dihe
SFH_before1945_other,SFH_before1945,Sonstige,SFH,before1945,reel
SFH_1945-1969_other,SFH_1945-1969,Sonstige,SFH,1945-1969,reel
SFH_1970-1979_other,SFH_1970-1979,Sonstige,SFH,1970-1979,reel
SFH_1980-1989_other,SFH_1980-1989,Sonstige,SFH,1980-1989,reel
SFH_1990-1999_other,SFH_1990-1999,Sonstige,SFH,1990-1999,reel
SFH_2000-2010_other,SFH_2000-2010,Sonstige,SFH,2000-2010,reel
SFH_2011-2020_other,SFH_2011-2020,Sonstige,SFH,2011-2020,reel
SFH_before1945_other,SFH_before1945,Sonstige,SFH,before1945,sobo
SFH_1945-1969_other,SFH_1945-1969,Sonstige,SFH,1945-1969,sobo
SFH_1970-1979_other,SFH_1970-1979,Sonstige,SFH,1970-1979,sobo
SFH_1980-1989_other,SFH_1980-1989,Sonstige,SFH,1980-1989,sobo
SFH_1990-1999_other,SFH_1990-1999,Sonstige,SFH,1990-1999,sobo
SFH_2000-2010_other,SFH_2000-2010,Sonstige,SFH,2000-2010,sobo
SFH_2011-2020_other,SFH_2011-2020,Sonstige,SFH,2011-2020,sobo
SFH_before1945_other,SFH_before1945,Sonstige,SFH,before1945,h2bo
SFH_1945-1969_other,SFH_1945-1969,Sonstige,SFH,1945-1969,h2bo
SFH_1970-1979_other,SFH_1970-1979,Sonstige,SFH,1970-1979,h2bo
SFH_1980-1989_other,SFH_1980-1989,Sonstige,SFH,1980-1989,h2bo
SFH_1990-1999_other,SFH_1990-1999,Sonstige,SFH,1990-1999,h2bo
SFH_2000-2010_other,SFH_2000-2010,Sonstige,SFH,2000-2010,h2bo
SFH_2011-2020_other,SFH_2011-2020,Sonstige,SFH,2011-2020,h2bo
SFH_before1945_ehp1,SFH_before1945,W�rmepumpe,SFH,before1945,ehp1
SFH_1945-1969_ehp1,SFH_1945-1969,W�rmepumpe,SFH,1945-1969,ehp1
SFH_1970-1979_ehp1,SFH_1970-1979,W�rmepumpe,SFH,1970-1979,ehp1
SFH_1980-1989_ehp1,SFH_1980-1989,W�rmepumpe,SFH,1980-1989,ehp1
SFH_1990-1999_ehp1,SFH_1990-1999,W�rmepumpe,SFH,1990-1999,ehp1
SFH_2000-2010_ehp1,SFH_2000-2010,W�rmepumpe,SFH,2000-2010,ehp1
SFH_2011-2020_ehp1,SFH_2011-2020,W�rmepumpe,SFH,2011-2020,ehp1
SFH_before1945_libo,SFH_before1945,Heiz�l,SFH,before1945,libo
SFH_1945-1969_libo,SFH_1945-1969,Heiz�l,SFH,1945-1969,libo
SFH_1970-1979_libo,SFH_1970-1979,Heiz�l,SFH,1970-1979,libo
SFH_1980-1989_libo,SFH_1980-1989,Heiz�l,SFH,1980-1989,libo
SFH_1990-1999_libo,SFH_1990-1999,Heiz�l,SFH,1990-1999,libo
SFH_2000-2010_libo,SFH_2000-2010,Heiz�l,SFH,2000-2010,libo
SFH_2011-2020_libo,SFH_2011-2020,Heiz�l,SFH,2011-2020,libo
SFH_before1945_gabo,SFH_before1945,Erdgas,SFH,before1945,gabo
SFH_1945-1969_gabo,SFH_1945-1969,Erdgas,SFH,1945-1969,gabo
SFH_1970-1979_gabo,SFH_1970-1979,Erdgas,SFH,1970-1979,gabo
SFH_1980-1989_gabo,SFH_1980-1989,Erdgas,SFH,1980-1989,gabo
SFH_1990-1999_gabo,SFH_1990-1999,Erdgas,SFH,1990-1999,gabo
SFH_2000-2010_gabo,SFH_2000-2010,Erdgas,SFH,2000-2010,gabo
SFH_2011-2020_gabo,SFH_2011-2020,Erdgas,SFH,2011-2020,gabo
MFH_before1945_biom,MFH_before1945,Biomasse,MFH,before1945,biom
MFH_1945-1969_biom,MFH_1945-1969,Biomasse,MFH,1945-1969,biom
MFH_1970-1979_biom,MFH_1970-1979,Biomasse,MFH,1970-1979,biom
MFH_1980-1989_biom,MFH_1980-1989,Biomasse,MFH,1980-1989,biom
MFH_1990-1999_biom,MFH_1990-1999,Biomasse,MFH,1990-1999,biom
MFH_2000-2010_biom,MFH_2000-2010,Biomasse,MFH,2000-2010,biom
MFH_2011-2020_biom,MFH_2011-2020,Biomasse,MFH,2011-2020,biom
MFH_before1945_dihe,MFH_before1945,Fernw�rme,MFH,before1945,dihe
MFH_1945-1969_dihe,MFH_1945-1969,Fernw�rme,MFH,1945-1969,dihe
MFH_1970-1979_dihe,MFH_1970-1979,Fernw�rme,MFH,1970-1979,dihe
MFH_1980-1989_dihe,MFH_1980-1989,Fernw�rme,MFH,1980-1989,dihe
MFH_1990-1999_dihe,MFH_1990-1999,Fernw�rme,MFH,1990-1999,dihe
MFH_2000-2010_dihe,MFH_2000-2010,Fernw�rme,MFH,2000-2010,dihe
MFH_2011-2020_dihe,MFH_2011-2020,Fernw�rme,MFH,2011-2020,dihe
MFH_before1945_other,MFH_before1945,Sonstige,MFH,before1945,reel
MFH_1945-1969_other,MFH_1945-1969,Sonstige,MFH,1945-1969,reel
MFH_1970-1979_other,MFH_1970-1979,Sonstige,MFH,1970-1979,reel
MFH_1980-1989_other,MFH_1980-1989,Sonstige,MFH,1980-1989,reel
MFH_1990-1999_other,MFH_1990-1999,Sonstige,MFH,1990-1999,reel
MFH_2000-2010_other,MFH_2000-2010,Sonstige,MFH,2000-2010,reel
MFH_2011-2020_other,MFH_2011-2020,Sonstige,MFH,2011-2020,reel
MFH_before1945_other,MFH_before1945,Sonstige,MFH,before1945,sobo
MFH_1945-1969_other,MFH_1945-1969,Sonstige,MFH,1945-1969,sobo
MFH_1970-1979_other,MFH_1970-1979,Sonstige,MFH,1970-1979,sobo
MFH_1980-1989_other,MFH_1980-1989,Sonstige,MFH,1980-1989,sobo
MFH_1990-1999_other,MFH_1990-1999,Sonstige,MFH,1990-1999,sobo
MFH_2000-2010_other,MFH_2000-2010,Sonstige,MFH,2000-2010,sobo
MFH_2011-2020_other,MFH_2011-2020,Sonstige,MFH,2011-2020,sobo
MFH_before1945_other,MFH_before1945,Sonstige,MFH,before1945,h2bo
MFH_1945-1969_other,MFH_1945-1969,Sonstige,MFH,1945-1969,h2bo
MFH_1970-1979_other,MFH_1970-1979,Sonstige,MFH,1970-1979,h2bo
MFH_1980-1989_other,MFH_1980-1989,Sonstige,MFH,1980-1989,h2bo
MFH_1990-1999_other,MFH_1990-1999,Sonstige,MFH,1990-1999,h2bo
MFH_2000-2010_other,MFH_2000-2010,Sonstige,MFH,2000-2010,h2bo
MFH_2011-2020_other,MFH_2011-2020,Sonstige,MFH,2011-2020,h2bo
MFH_before1945_ehp1,MFH_before1945,W�rmepumpe,MFH,before1945,ehp1
MFH_1945-1969_ehp1,MFH_1945-1969,W�rmepumpe,MFH,1945-1969,ehp1
MFH_1970-1979_ehp1,MFH_1970-1979,W�rmepumpe,MFH,1970-1979,ehp1
MFH_1980-1989_ehp1,MFH_1980-1989,W�rmepumpe,MFH,1980-1989,ehp1
MFH_1990-1999_ehp1,MFH_1990-1999,W�rmepumpe,MFH,1990-1999,ehp1
MFH_2000-2010_ehp1,MFH_2000-2010,W�rmepumpe,MFH,2000-2010,ehp1
MFH_2011-2020_ehp1,MFH_2011-2020,W�rmepumpe,MFH,2011-2020,ehp1
MFH_before1945_libo,MFH_before1945,Heiz�l,MFH,before1945,libo
MFH_1945-1969_libo,MFH_1945-1969,Heiz�l,MFH,1945-1969,libo
MFH_1970-1979_libo,MFH_1970-1979,Heiz�l,MFH,1970-1979,libo
MFH_1980-1989_libo,MFH_1980-1989,Heiz�l,MFH,1980-1989,libo
