variable,refVarGroup,.code,.codeTotal,.variableTitle,.variable_Brick,typ,hs,.comment
Res_libo,Res,nbrlprpet,nbrlpr,Stock of dwellings with oil space heating_Stock of dwellings (permanently occupied),v_stock/v_stock,SFH,libo,
Res_libo,Res,nbrlprpet,nbrlpr,Stock of dwellings with oil space heating_Stock of dwellings (permanently occupied),v_stock/v_stock,MFH,libo,
Res_gabo,Res,nbrlprgaz,nbrlpr,Stock of dwellings with gas space heating_Stock of dwellings (permanently occupied),v_stock/v_stock,SFH,gabo,
Res_gabo,Res,nbrlprgaz,nbrlpr,Stock of dwellings with gas space heating_Stock of dwellings (permanently occupied),v_stock/v_stock,MFH,gabo,
Res_sobo,Res,nbrlprcms,nbrlpr,Stock of dwellings with coallignitepeat space heating_Stock of dwellings (permanently occupied),v_stock/v_stock,SFH,sobo,
Res_sobo,Res,nbrlprcms,nbrlpr,Stock of dwellings with coallignitepeat space heating_Stock of dwellings (permanently occupied),v_stock/v_stock,MFH,sobo,
Res_dihe,Res,nbrlprvap,nbrlpr,Stock of dwellings with district heating space heating_Stock of dwellings (permanently occupied),v_stock/v_stock,SFH,dihe,
Res_dihe,Res,nbrlprvap,nbrlpr,Stock of dwellings with district heating space heating_Stock of dwellings (permanently occupied),v_stock/v_stock,MFH,dihe,
Res_biom,Res,nbrlprboi,nbrlpr,Stock of dwellings with wood space heating_Stock of dwellings (permanently occupied),v_stock/v_stock,SFH,biom,
Res_biom,Res,nbrlprboi,nbrlpr,Stock of dwellings with wood space heating_Stock of dwellings (permanently occupied),v_stock/v_stock,MFH,biom,
Res_elec,Res,nbrlprele,nbrlpr,Stock of dwellings with electric space heating_Stock of dwellings (permanently occupied),v_stock/v_stock,SFH,reel,
Res_elec,Res,nbrlprele,nbrlpr,Stock of dwellings with electric space heating_Stock of dwellings (permanently occupied),v_stock/v_stock,MFH,reel,
Res_elec,Res,nbrlprele,nbrlpr,Stock of dwellings with electric space heating_Stock of dwellings (permanently occupied),v_stock/v_stock,SFH,ehp1,
Res_elec,Res,nbrlprele,nbrlpr,Stock of dwellings with electric space heating_Stock of dwellings (permanently occupied),v_stock/v_stock,MFH,ehp1,
MFH_libo,MFH,nbriprpet,nbripr,Stock of flats with oil space heating_Stock of multifamily dwellings (permanently occupied),v_stock/v_stock,MFH,libo,
MFH_gabo,MFH,nbriprgaz,nbripr,Stock of flats with gas space heating_Stock of multifamily dwellings (permanently occupied),v_stock/v_stock,MFH,gabo,
MFH_sobo,MFH,nbriprcms,nbripr,Stock of flats with coallignitepeat space heating_Stock of multifamily dwellings (permanently occupied),v_stock/v_stock,MFH,sobo,
MFH_dihe,MFH,nbriprvap,nbripr,Stock of flats with district heating space heating_Stock of multifamily dwellings (permanently occupied),v_stock/v_stock,MFH,dihe,
MFH_biom,MFH,nbriprboi,nbripr,Stock of flats with wood space heating_Stock of multifamily dwellings (permanently occupied),v_stock/v_stock,MFH,biom,
MFH_elec,MFH,nbriprele,nbripr,Stock of flats with electric space heating_Stock of multifamily dwellings (permanently occupied),v_stock/v_stock,MFH,reel,
MFH_elec,MFH,nbriprele,nbripr,Stock of flats with electric space heating_Stock of multifamily dwellings (permanently occupied),v_stock/v_stock,MFH,ehp1,
SFH_libo,SFH,nbrmprpet,nbrmpr,Stock of houses with oil space heating_Stock of single family dwellings (permanently occupied),v_stock/v_stock,SFH,libo,
SFH_gabo,SFH,nbrmprgaz,nbrmpr,Stock of houses with gas space heating_Stock of single family dwellings (permanently occupied),v_stock/v_stock,SFH,gabo,
SFH_sobo,SFH,nbrmprcms,nbrmpr,Stock of houses with coallignitepeat space heating_Stock of single family dwellings (permanently occupied),v_stock/v_stock,SFH,sobo,
SFH_dihe,SFH,nbrmprvap,nbrmpr,Stock of houses with district heating space heating_Stock of single family dwellings (permanently occupied),v_stock/v_stock,SFH,dihe,
SFH_biom,SFH,nbrmprboi,nbrmpr,Stock of houses with wood space heating_Stock of single family dwellings (permanently occupied),v_stock/v_stock,SFH,biom,
SFH_elec,SFH,nbrmprele,nbrmpr,Stock of houses with electric space heating_Stock of single family dwellings (permanently occupied),v_stock/v_stock,SFH,reel,
SFH_elec,SFH,nbrmprele,nbrmpr,Stock of houses with electric space heating_Stock of single family dwellings (permanently occupied),v_stock/v_stock,SFH,ehp1,
