variable,.variableTilte,.dataSet,.variable_Brick,typ,hs,qty,.comment
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,MFH,libo,num,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,MFH,gabo,num,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,MFH,sobo,num,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,MFH,dihe,num,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,MFH,biom,num,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,MFH,reel,num,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,MFH,ehp1,num,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,SFH,libo,num,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,SFH,gabo,num,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,SFH,sobo,num,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,SFH,dihe,num,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,SFH,biom,num,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,SFH,reel,num,
nbrlpr,Stock of dwellings (permanently occupied),households,v_stock,SFH,ehp1,num,
nbrlprpet,Stock of dwellings with oil space heating,households,v_stock,SFH,libo,num,
nbrlprpet,Stock of dwellings with oil space heating,households,v_stock,MFH,libo,num,
nbrlprgaz,Stock of dwellings with gas space heating,households,v_stock,SFH,gabo,num,
nbrlprgaz,Stock of dwellings with gas space heating,households,v_stock,MFH,gabo,num,
nbrlprcms,Stock of dwellings with coallignitepeat space heating,households,v_stock,SFH,sobo,num,
nbrlprcms,Stock of dwellings with coallignitepeat space heating,households,v_stock,MFH,sobo,num,
nbrlprvap,Stock of dwellings with district heating space heating,households,v_stock,SFH,dihe,num,
nbrlprvap,Stock of dwellings with district heating space heating,households,v_stock,MFH,dihe,num,
nbrlprboi,Stock of dwellings with wood space heating,households,v_stock,SFH,biom,num,
nbrlprboi,Stock of dwellings with wood space heating,households,v_stock,MFH,biom,num,
nbrlprele,Stock of dwellings with electric space heating,households,v_stock,SFH,reel,num,
nbrlprele,Stock of dwellings with electric space heating,households,v_stock,MFH,ehp1,num,
nbripr,Stock of multifamily dwellings (permanently occupied),households,v_stock,MFH,libo,num,
nbripr,Stock of multifamily dwellings (permanently occupied),households,v_stock,MFH,gabo,num,
nbripr,Stock of multifamily dwellings (permanently occupied),households,v_stock,MFH,sobo,num,
nbripr,Stock of multifamily dwellings (permanently occupied),households,v_stock,MFH,dihe,num,
nbripr,Stock of multifamily dwellings (permanently occupied),households,v_stock,MFH,biom,num,
nbripr,Stock of multifamily dwellings (permanently occupied),households,v_stock,MFH,reel,num,
nbripr,Stock of multifamily dwellings (permanently occupied),households,v_stock,MFH,ehp1,num,
nbriprpet,Stock of flats with oil space heating,households,v_stock,MFH,libo,num,
nbriprgaz,Stock of flats with gas space heating,households,v_stock,MFH,gabo,num,
nbriprcms,Stock of flats with coallignitepeat space heating,households,v_stock,MFH,sobo,num,
nbriprvap,Stock of flats with district heating space heating,households,v_stock,MFH,dihe,num,
nbriprboi,Stock of flats with wood space heating,households,v_stock,MFH,biom,num,
nbriprele,Stock of flats with electric space heating,households,v_stock,MFH,reel,num,
nbriprele,Stock of flats with electric space heating,households,v_stock,MFH,ehp1,num,
nbrmpr,Stock of single family dwellings (permanently occupied),households,v_stock,SFH,libo,num,
nbrmpr,Stock of single family dwellings (permanently occupied),households,v_stock,SFH,gabo,num,
nbrmpr,Stock of single family dwellings (permanently occupied),households,v_stock,SFH,sobo,num,
nbrmpr,Stock of single family dwellings (permanently occupied),households,v_stock,SFH,dihe,num,
nbrmpr,Stock of single family dwellings (permanently occupied),households,v_stock,SFH,biom,num,
nbrmpr,Stock of single family dwellings (permanently occupied),households,v_stock,SFH,reel,num,
nbrmpr,Stock of single family dwellings (permanently occupied),households,v_stock,SFH,ehp1,num,
nbrmprpet,Stock of houses with oil space heating,households,v_stock,SFH,libo,num,
nbrmprgaz,Stock of houses with gas space heating,households,v_stock,SFH,gabo,num,
nbrmprcms,Stock of houses with coallignitepeat space heating,households,v_stock,SFH,sobo,num,
nbrmprvap,Stock of houses with district heating space heating,households,v_stock,SFH,dihe,num,
nbrmprboi,Stock of houses with wood space heating,households,v_stock,SFH,biom,num,
nbrmprele,Stock of houses with electric space heating,households,v_stock,SFH,reel,num,
nbrmprele,Stock of houses with electric space heating,households,v_stock,SFH,ehp1,num,
surter,Floor area of services,services,v_stock,Com,libo,area,
surter,Floor area of services,services,v_stock,Com,gabo,area,
surter,Floor area of services,services,v_stock,Com,sobo,area,
surter,Floor area of services,services,v_stock,Com,dihe,area,
surter,Floor area of services,services,v_stock,Com,biom,area,
surter,Floor area of services,services,v_stock,Com,reel,area,
surter,Floor area of services,services,v_stock,Com,ehp1,area,
